population,minimum_age,maximum_age,gender,zipcode,geo_id
0,65,66,female,01224,8600000US01224
0,62,64,female,06020,8600000US06020
0,45,49,female,08320,8600000US08320
0,40,44,female,13441,8600000US13441
0,20,20,female,19109,8600000US19109
0,15,17,female,27982,8600000US27982
0,65,66,female,28652,8600000US28652
0,60,61,female,32511,8600000US32511
0,75,79,female,37201,8600000US37201
0,20,20,female,50127,8600000US50127
0,65,66,female,50839,8600000US50839
0,21,21,female,51018,8600000US51018
0,60,61,female,52168,8600000US52168
0,62,64,male,56056,8600000US56056
0,15,17,female,57041,8600000US57041
0,60,61,female,57562,8600000US57562
0,20,20,female,58478,8600000US58478
0,35,39,female,58705,8600000US58705
0,21,21,male,59078,8600000US59078
0,80,84,female,67639,8600000US67639
0,80,84,male,70050,8600000US70050
0,30,34,female,71209,8600000US71209
0,40,44,male,73746,8600000US73746
0,20,20,male,74942,8600000US74942
0,22,24,female,81081,8600000US81081
0,20,20,male,84712,8600000US84712
0,85,,male,84734,8600000US84734
0,10,14,female,85341,8600000US85341
0,35,39,male,88417,8600000US88417
0,85,,female,93522,8600000US93522
0,5,9,female,98447,8600000US98447
1,20,20,female,01093,8600000US01093
1,21,21,female,03230,8600000US03230
1,22,24,male,07833,8600000US07833
1,80,84,male,13659,8600000US13659
1,67,69,female,16312,8600000US16312
1,18,19,male,17246,8600000US17246
1,85,,female,18230,8600000US18230
1,67,69,female,23313,8600000US23313
1,62,64,male,38070,8600000US38070
1,70,74,male,45115,8600000US45115
1,21,21,female,54545,8600000US54545
1,21,21,male,54737,8600000US54737
1,70,74,female,54842,8600000US54842
1,45,49,female,59039,8600000US59039
1,85,,male,60604,8600000US60604
1,21,21,male,61458,8600000US61458
1,20,20,female,63941,8600000US63941
1,30,34,female,65048,8600000US65048
1,21,21,male,66716,8600000US66716
1,70,74,female,72379,8600000US72379
1,80,84,female,80612,8600000US80612
1,85,,female,83548,8600000US83548
1,20,20,female,87539,8600000US87539
1,80,84,female,88330,8600000US88330
1,85,,male,89004,8600000US89004
1,75,79,female,97819,8600000US97819
2,62,64,male,18413,8600000US18413
2,75,79,female,22946,8600000US22946
2,18,19,male,25862,8600000US25862
2,5,9,male,29724,8600000US29724
2,75,79,female,38630,8600000US38630
2,67,69,male,43109,8600000US43109
2,5,9,male,52557,8600000US52557
2,20,20,male,56257,8600000US56257
2,62,64,male,57650,8600000US57650
2,25,29,female,58765,8600000US58765
2,20,20,male,64090,8600000US64090
2,70,74,male,65654,8600000US65654
2,85,,female,67072,8600000US67072
2,35,39,female,68444,8600000US68444
2,21,21,male,80476,8600000US80476
2,55,59,male,83348,8600000US83348
2,22,24,female,95981,8600000US95981
2,85,,male,98068,8600000US98068
2,80,84,female,99607,8600000US99607
3,25,29,female,03883,8600000US03883
3,5,9,female,12195,8600000US12195
3,25,29,female,18212,8600000US18212
3,21,21,female,20690,8600000US20690
3,80,84,female,27943,8600000US27943
3,75,79,male,44670,8600000US44670
3,75,79,female,45674,8600000US45674
3,80,84,female,50518,8600000US50518
3,70,74,female,58035,8600000US58035
3,35,39,female,58223,8600000US58223
3,75,79,female,58775,8600000US58775
3,25,29,male,58794,8600000US58794
3,18,19,female,62815,8600000US62815
3,62,64,female,65327,8600000US65327
3,21,21,male,84331,8600000US84331
3,85,,male,89046,8600000US89046
3,25,29,male,95979,8600000US95979
3,20,20,male,99773,8600000US99773
4,55,59,female,03238,8600000US03238
4,65,66,female,03259,8600000US03259
4,75,79,male,04657,8600000US04657
4,20,20,male,12207,8600000US12207
4,10,14,female,15832,8600000US15832
4,65,66,male,15848,8600000US15848
4,21,21,female,16132,8600000US16132
4,10,14,female,22504,8600000US22504
4,67,69,female,25173,8600000US25173
4,15,17,male,27109,8600000US27109
4,60,61,female,38731,8600000US38731
4,80,84,male,41815,8600000US41815
4,21,21,female,41862,8600000US41862
4,35,39,female,49634,8600000US49634
4,18,19,male,51527,8600000US51527
